episode,reward,score,task,agent_type,steps
1,-2.4,0.0,task1_easy,rule_based,30
1,-4.3,0.2088,task2_medium,rule_based,50
1,-7.4,0.0,task3_hard,rule_based,80
1,-5.2,0.4017,task4_team,rule_based,100
1,-9.4,0.025,task5_deadline,rule_based,100
1,-2.0,0.0,task1_easy,react_enhanced,30
1,-3.9,0.2467,task2_medium,react_enhanced,50
1,-6.8,0.0,task3_hard,react_enhanced,80
1,-5.2,0.37,task4_team,react_enhanced,100
1,-8.8,0.0225,task5_deadline,react_enhanced,100
1,-0.8,0.0,task1_easy,ppo_trained,30
1,-4.2,0.0,task2_medium,ppo_trained,50
1,-7.2,0.0,task3_hard,ppo_trained,80
1,-7.3,0.2233,task4_team,ppo_trained,100
1,-7.3,0.1075,task5_deadline,ppo_trained,100
1,-2.0,0.0,task1_easy,ppo_gnn,30
1,-4.0,0.0,task2_medium,ppo_gnn,50
1,-7.0,0.0,task3_hard,ppo_gnn,80
1,-5.2,0.4017,task4_team,ppo_gnn,100
1,-9.4,0.025,task5_deadline,ppo_gnn,100
1,2.65,0.0,task1_easy,hrl,30
1,0.15,0.0,task2_medium,hrl,50
1,-7.4,0.0,task3_hard,hrl,80
1,-5.2,0.4017,task4_team,hrl,100
1,-9.4,0.025,task5_deadline,hrl,100
1,0.0,0.0,task1_easy,reflexion,0
1,-4.3,0.2088,task2_medium,reflexion,50
1,0.0,0.0,task3_hard,reflexion,0
1,-4.5,0.4317,task4_team,reflexion,100
1,-9.4,0.025,task5_deadline,reflexion,100
